,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
993,hansrisco,"Dukung produk lokal, tapi barang lokal harga selangit kualitas nyebur ke kali. Gak semua sih tapi banyakan gitu jadi ya gabisa di pukul rata juga pak. Kalau emang gamau kalah saing sama barang thrift ya barang lokalnya juga harus sebanding dari segi kualitas dong",Dukung produk lokal  tapi barang lokal harga selangit kualitas nyebur ke kali  Gak semua sih tapi banyakan gitu jadi ya gabisa di pukul rata juga pak  Kalau emang gamau kalah saing sama barang thrift ya barang lokalnya juga harus sebanding dari segi kualitas dong,dukung produk lokal  tapi barang lokal harga selangit kualitas nyebur ke kali  gak semua sih tapi banyakan gitu jadi ya gabisa di pukul rata juga pak  kalau emang gamau kalah saing sama barang thrift ya barang lokalnya juga harus sebanding dari segi kualitas dong,"['dukung', 'produk', 'lokal', 'tapi', 'barang', 'lokal', 'harga', 'selangit', 'kualitas', 'nyebur', 'ke', 'kali', 'gak', 'semua', 'sih', 'tapi', 'banyakan', 'gitu', 'jadi', 'ya', 'gabisa', 'di', 'pukul', 'rata', 'juga', 'pak', 'kalau', 'emang', 'gamau', 'kalah', 'saing', 'sama', 'barang', 'thrift', 'ya', 'barang', 'lokalnya', 'juga', 'harus', 'sebanding', 'dari', 'segi', 'kualitas', 'dong']",dukung produk lokal barang lokal harga selangit kualitas nyebur kali banyakan gitu gabisa emang gamau kalah saing barang thrift barang lokalnya sebanding segi kualitas,dukung produk lokal barang lokal harga selangit kualitas nyebur kali banyakan begitu tidak bisa emang tidak mau kalah saing barang thrift barang lokalnya sebanding segi kualitas,dukung produk lokal barang lokal harga langit kualitas nyebur kali banyak begitu tidak bisa emang tidak mau kalah saing barang thrift barang lokal banding segi kualitas
994,septiandavid305,Di pasar senen dan tanah abang banyak yg jual ya pak? Hehe,Di pasar senen dan tanah abang banyak yg jual ya pak  Hehe,di pasar senen dan tanah abang banyak yg jual ya pak  hehe,"['di', 'pasar', 'senen', 'dan', 'tanah', 'abang', 'banyak', 'yg', 'jual', 'ya', 'pak', 'hehe']",pasar senen tanah abang jual,pasar senin tanah abang jual,pasar senin tanah abang jual
995,ecdstwn,"harusnya trend baju thrifting diubah, bukan dijadiin industry tp di jadiin buat bantu sesama teman kita yg lagi terkena musibah di daerahnya.",harusnya trend baju thrifting diubah  bukan dijadiin industry tp di jadiin buat bantu sesama teman kita yg lagi terkena musibah di daerahnya,harusnya trend baju thrifting diubah  bukan dijadiin industry tp di jadiin buat bantu sesama teman kita yg lagi terkena musibah di daerahnya,"['harusnya', 'trend', 'baju', 'thrifting', 'diubah', 'bukan', 'dijadiin', 'industry', 'tp', 'di', 'jadiin', 'buat', 'bantu', 'sesama', 'teman', 'kita', 'yg', 'lagi', 'terkena', 'musibah', 'di', 'daerahnya']",trend baju thrifting diubah dijadiin industry tp jadiin bantu teman terkena musibah daerahnya,trend baju thrifting diubah dijadiin industry tetapi jadiin bantu teman terkena musibah daerahnya,trend baju thrifting ubah dijadiin industry tetapi jadiin bantu teman kena musibah daerah
996,kojiseblak.id,Apakah orang luar negri yg bekerja di Indonesia tidak menghambat orang Indonesia untuk bekerja di negri ya sendiri pak!!,Apakah orang luar negri yg bekerja di Indonesia tidak menghambat orang Indonesia untuk bekerja di negri ya sendiri pak,apakah orang luar negri yg bekerja di indonesia tidak menghambat orang indonesia untuk bekerja di negri ya sendiri pak,"['apakah', 'orang', 'luar', 'negri', 'yg', 'bekerja', 'di', 'indonesia', 'tidak', 'menghambat', 'orang', 'indonesia', 'untuk', 'bekerja', 'di', 'negri', 'ya', 'sendiri', 'pak']",orang negri indonesia menghambat orang indonesia negri,orang negeri indonesia menghambat orang indonesia negeri,orang negeri indonesia hambat orang indonesia negeri
997,ghoparr_,Mending nge thrift dana pajak aj,Mending nge thrift dana pajak aj,mending nge thrift dana pajak aj,"['mending', 'nge', 'thrift', 'dana', 'pajak', 'aj']",mending nge thrift dana pajak aj,mending nge thrift dana pajak saja,mending nge thrift dana pajak saja
998,peepout.vtg,saya jual baju preloved kakak🙈 hihi,saya jual baju preloved kakak  hihi,saya jual baju preloved kakak  hihi,"['saya', 'jual', 'baju', 'preloved', 'kakak', 'hihi']",jual baju preloved kakak hihi,jual baju preloved kakak hihi,jual baju preloved kakak hihi
999,rizkyauditama,"Yang paling bener Shopee, tiktok di Bannet. Dari awal kedatangan mreka Jualan susah",Yang paling bener Shopee  tiktok di Bannet  Dari awal kedatangan mreka Jualan susah,yang paling bener shopee  tiktok di bannet  dari awal kedatangan mreka jualan susah,"['yang', 'paling', 'bener', 'shopee', 'tiktok', 'di', 'bannet', 'dari', 'awal', 'kedatangan', 'mreka', 'jualan', 'susah']",bener shopee tiktok bannet kedatangan mreka jualan susah,bener shopee tiktok bannet kedatangan mereka jualan susah,bener shopee tiktok bannet datang mereka jual susah
1000,planetaniaa_,disini yang baru kualitasnya kaya kulit tahu aka TIPIIIIS BANGET PAK,disini yang baru kualitasnya kaya kulit tahu aka TIPIIS BANGET PAK,disini yang baru kualitasnya kaya kulit tahu aka tipiis banget pak,"['disini', 'yang', 'baru', 'kualitasnya', 'kaya', 'kulit', 'tahu', 'aka', 'tipiis', 'banget', 'pak']",kualitasnya kaya kulit aka tipiis banget,kualitasnya kaya kulit aka tipiis banget,kualitas kaya kulit aka tipi banget
1001,nopalagii_,pengalihan isu,pengalihan isu,pengalihan isu,"['pengalihan', 'isu']",pengalihan isu,pengalihan isu,alih isu
1002,fariidrasyid,bingung dah thriftingan gua,bingung dah thriftingan gua,bingung dah thriftingan gua,"['bingung', 'dah', 'thriftingan', 'gua']",bingung dah thriftingan gua,bingung sudah thriftingan saya,bingung sudah thriftingan saya
1003,alkoheals,Sustainable?,Sustainable,sustainable,['sustainable'],sustainable,sustainable,sustainable
1004,arulphoto_,Aku yang beli kaos polos lalu ku custom dengan nama vendor fg ku😂,Aku yang beli kaos polos lalu ku custom dengan nama vendor fg ku,aku yang beli kaos polos lalu ku custom dengan nama vendor fg ku,"['aku', 'yang', 'beli', 'kaos', 'polos', 'lalu', 'ku', 'custom', 'dengan', 'nama', 'vendor', 'fg', 'ku']",beli kaos polos ku custom nama vendor fg ku,beli kaos polos ku custom nama vendor fg ku,beli kaos polos ku custom nama vendor fg ku
1005,ezaaaaaaaa__,Terus solusinya apa dong?,Terus solusinya apa dong,terus solusinya apa dong,"['terus', 'solusinya', 'apa', 'dong']",solusinya,solusinya,solusi
1006,itsyoboi.ile,"intinya sesuai dompet masing2 aja. kesampingkan gengsi ges, toh fungsi pakaian untuk melindungi tubuh dan menutup aurat. dan kalau mampu silahkan beli brand lokal demi mensupport UMKM Indonesia",intinya sesuai dompet masing aja  kesampingkan gengsi ges  toh fungsi pakaian untuk melindungi tubuh dan menutup aurat  dan kalau mampu silahkan beli brand lokal demi mensupport UMKM Indonesia,intinya sesuai dompet masing aja  kesampingkan gengsi ges  toh fungsi pakaian untuk melindungi tubuh dan menutup aurat  dan kalau mampu silahkan beli brand lokal demi mensupport umkm indonesia,"['intinya', 'sesuai', 'dompet', 'masing', 'aja', 'kesampingkan', 'gengsi', 'ges', 'toh', 'fungsi', 'pakaian', 'untuk', 'melindungi', 'tubuh', 'dan', 'menutup', 'aurat', 'dan', 'kalau', 'mampu', 'silahkan', 'beli', 'brand', 'lokal', 'demi', 'mensupport', 'umkm', 'indonesia']",intinya sesuai dompet kesampingkan gengsi ges fungsi pakaian melindungi tubuh menutup aurat silahkan beli brand lokal mensupport umkm indonesia,intinya sesuai dompet kesampingkan gengsi ges fungsi pakaian melindungi tubuh menutup aurat silahkan beli brand lokal mensupport umkm indonesia,inti sesuai dompet samping gengsi ges fungsi pakai lindung tubuh tutup aurat silah beli brand lokal mensupport umkm indonesia
1007,sinetronnindosiar,Harusnya lapangan pekerjaan gedein orang kerja susah usaha jga susah heran bgst,Harusnya lapangan pekerjaan gedein orang kerja susah usaha jga susah heran bgst,harusnya lapangan pekerjaan gedein orang kerja susah usaha jga susah heran bgst,"['harusnya', 'lapangan', 'pekerjaan', 'gedein', 'orang', 'kerja', 'susah', 'usaha', 'jga', 'susah', 'heran', 'bgst']",lapangan pekerjaan gedein orang kerja susah usaha jga susah heran bgst,lapangan pekerjaan gedein orang kerja susah usaha juga susah heran bgst,lapang kerja gedein orang kerja susah usaha juga susah heran bgst
1008,juanalfynsh,Pake kaos partai biar masuk surga,Pake kaos partai biar masuk surga,pake kaos partai biar masuk surga,"['pake', 'kaos', 'partai', 'biar', 'masuk', 'surga']",pake kaos partai masuk surga,pakai kaos partai masuk surga,pakai kaos partai masuk surga
1009,imanuelarmando3196,Heh bikin susah bilang aja harus bayar pajak dan lain lain paj,Heh bikin susah bilang aja harus bayar pajak dan lain lain paj,heh bikin susah bilang aja harus bayar pajak dan lain lain paj,"['heh', 'bikin', 'susah', 'bilang', 'aja', 'harus', 'bayar', 'pajak', 'dan', 'lain', 'lain', 'paj']",heh susah bayar pajak paj,heh susah bayar pajak paj,heh susah bayar pajak paj
1010,ropevtg_,Hadeuh 😶,Hadeuh,hadeuh,['hadeuh'],hadeuh,hadeuh,hadeuh
1011,vinaldoglg,"Gimana dengan perspektif bahwa para pemakai barang thrift ini bukan karna dia ga cinta produk lokal  tetapi karna pada faktanya barang thrift lebih ekonomis dan kualitasnya lumayan untuk ukuran barang second (mayoritas) daripada beli produk lokal dengan harga sama tetapi kualitas seadanya bahkan lebih buruk, jadi mayoritas pada suka produk thrift lebih ke soal kemampuan ekonominya segitu, sedangkan banyak produk lokal yang harganya masih diluar kemampuan finansial kebanyakan konsumen domestik",Gimana dengan perspektif bahwa para pemakai barang thrift ini bukan karna dia ga cinta produk lokal tetapi karna pada faktanya barang thrift lebih ekonomis dan kualitasnya lumayan untuk ukuran barang second  mayoritas  daripada beli produk lokal dengan harga sama tetapi kualitas seadanya bahkan lebih buruk  jadi mayoritas pada suka produk thrift lebih ke soal kemampuan ekonominya segitu  sedangkan banyak produk lokal yang harganya masih diluar kemampuan finansial kebanyakan konsumen domestik,gimana dengan perspektif bahwa para pemakai barang thrift ini bukan karna dia ga cinta produk lokal tetapi karna pada faktanya barang thrift lebih ekonomis dan kualitasnya lumayan untuk ukuran barang second  mayoritas  daripada beli produk lokal dengan harga sama tetapi kualitas seadanya bahkan lebih buruk  jadi mayoritas pada suka produk thrift lebih ke soal kemampuan ekonominya segitu  sedangkan banyak produk lokal yang harganya masih diluar kemampuan finansial kebanyakan konsumen domestik,"['gimana', 'dengan', 'perspektif', 'bahwa', 'para', 'pemakai', 'barang', 'thrift', 'ini', 'bukan', 'karna', 'dia', 'ga', 'cinta', 'produk', 'lokal', 'tetapi', 'karna', 'pada', 'faktanya', 'barang', 'thrift', 'lebih', 'ekonomis', 'dan', 'kualitasnya', 'lumayan', 'untuk', 'ukuran', 'barang', 'second', 'mayoritas', 'daripada', 'beli', 'produk', 'lokal', 'dengan', 'harga', 'sama', 'tetapi', 'kualitas', 'seadanya', 'bahkan', 'lebih', 'buruk', 'jadi', 'mayoritas', 'pada', 'suka', 'produk', 'thrift', 'lebih', 'ke', 'soal', 'kemampuan', 'ekonominya', 'segitu', 'sedangkan', 'banyak', 'produk', 'lokal', 'yang', 'harganya', 'masih', 'diluar', 'kemampuan', 'finansial', 'kebanyakan', 'konsumen', 'domestik']",gimana perspektif pemakai barang thrift karna cinta produk lokal karna faktanya barang thrift ekonomis kualitasnya lumayan ukuran barang second mayoritas beli produk lokal harga kualitas seadanya buruk mayoritas suka produk thrift kemampuan ekonominya segitu produk lokal harganya diluar kemampuan finansial kebanyakan konsumen domestik,bagaimana perspektif pemakai barang thrift karena cinta produk lokal karena faktanya barang thrift ekonomis kualitasnya lumayan ukuran barang second mayoritas beli produk lokal harga kualitas seadanya buruk mayoritas suka produk thrift kemampuan ekonominya segitu produk lokal harganya diluar kemampuan finansial kebanyakan konsumen domestik,bagaimana perspektif pakai barang thrift karena cinta produk lokal karena fakta barang thrift ekonomis kualitas lumayan ukur barang second mayoritas beli produk lokal harga kualitas ada buruk mayoritas suka produk thrift mampu ekonomi segitu produk lokal harga luar mampu finansial banyak konsumen domestik
1012,rivaldybaihaqii,"Mau cari size apa? XL full bordir, tag tag aman, vintage, kalo mau clue nya di juara 70",Mau cari size apa  XL full bordir  tag tag aman  vintage  kalo mau clue nya di juara,mau cari size apa  xl full bordir  tag tag aman  vintage  kalo mau clue nya di juara,"['mau', 'cari', 'size', 'apa', 'xl', 'full', 'bordir', 'tag', 'tag', 'aman', 'vintage', 'kalo', 'mau', 'clue', 'nya', 'di', 'juara']",cari size xl full bordir tag tag aman vintage clue juara,cari size xl full bordir tag tag aman vintage clue juara,cari size xl full bordir tag tag aman vintage clue juara
1013,wahyusatyaa_,"Bodo amat pk saya pejuang thrift lunayan dpt essentials ,stone island harga miring pak 😂 dan asli 😁 kalau beli baru gak sanggup itulah mengapa adanya thrift yaa buat kita2 yg gak mampu beli baru thrift solusinya dan yg saya tahu thrift lah yg ngedhidupin style skrng ini kiblatnya lah liat aja brand lokal banyak nyontek yg lagi trend apa nih di thrift contoh kecilnya jaket nascar baju vintage",Bodo amat pk saya pejuang thrift lunayan dpt essentials  stone island harga miring pak  dan asli  kalau beli baru gak sanggup itulah mengapa adanya thrift yaa buat kita yg gak mampu beli baru thrift solusinya dan yg saya tahu thrift lah yg ngedhidupin style skrng ini kiblatnya lah liat aja brand lokal banyak nyontek yg lagi trend apa nih di thrift contoh kecilnya jaket nascar baju vintage,bodo amat pk saya pejuang thrift lunayan dpt essentials  stone island harga miring pak  dan asli  kalau beli baru gak sanggup itulah mengapa adanya thrift yaa buat kita yg gak mampu beli baru thrift solusinya dan yg saya tahu thrift lah yg ngedhidupin style skrng ini kiblatnya lah liat aja brand lokal banyak nyontek yg lagi trend apa nih di thrift contoh kecilnya jaket nascar baju vintage,"['bodo', 'amat', 'pk', 'saya', 'pejuang', 'thrift', 'lunayan', 'dpt', 'essentials', 'stone', 'island', 'harga', 'miring', 'pak', 'dan', 'asli', 'kalau', 'beli', 'baru', 'gak', 'sanggup', 'itulah', 'mengapa', 'adanya', 'thrift', 'yaa', 'buat', 'kita', 'yg', 'gak', 'mampu', 'beli', 'baru', 'thrift', 'solusinya', 'dan', 'yg', 'saya', 'tahu', 'thrift', 'lah', 'yg', 'ngedhidupin', 'style', 'skrng', 'ini', 'kiblatnya', 'lah', 'liat', 'aja', 'brand', 'lokal', 'banyak', 'nyontek', 'yg', 'lagi', 'trend', 'apa', 'nih', 'di', 'thrift', 'contoh', 'kecilnya', 'jaket', 'nascar', 'baju', 'vintage']",bodo pk pejuang thrift lunayan dpt essentials stone island harga miring asli beli sanggup thrift yaa beli thrift solusinya thrift ngedhidupin style skrng kiblatnya liat brand lokal nyontek trend thrift contoh kecilnya jaket nascar baju vintage,bodoh pakai pejuang thrift lunayan dapat essentials stone island harga miring asli beli sanggup thrift yaa beli thrift solusinya thrift ngedhidupin style sekarang kiblatnya lihat brand lokal nyontek trend thrift contoh kecilnya jaket nascar baju vintage,bodoh pakai juang thrift lunayan dapat essentials stone island harga miring asli beli sanggup thrift yaa beli thrift solusi thrift ngedhidupin style sekarang kiblat lihat brand lokal nyontek trend thrift contoh kecil jaket nascar baju vintage
1014,pressureneeds.archive,Untung akun ini jualan pempek bukan thrifting,Untung akun ini jualan pempek bukan thrifting,untung akun ini jualan pempek bukan thrifting,"['untung', 'akun', 'ini', 'jualan', 'pempek', 'bukan', 'thrifting']",untung akun jualan pempek thrifting,untung akun jualan pempek thrifting,untung akun jual pempek thrifting
1015,wahyuwiprastaa,PSD majuu lagi 🔥,PSD majuu lagi,psd majuu lagi,"['psd', 'majuu', 'lagi']",psd majuu,psd majuu,psd majuu
1016,e.pebrian,"Apa apa gaboleh, kaya lg di korea utara aja",Apa apa gaboleh  kaya lg di korea utara aja,apa apa gaboleh  kaya lg di korea utara aja,"['apa', 'apa', 'gaboleh', 'kaya', 'lg', 'di', 'korea', 'utara', 'aja']",gaboleh kaya lg korea utara,tidak boleh kaya lagi korea utara,tidak boleh kaya lagi korea utara
1017,radclubs,tidak mau dengar la la la la la😮,tidak mau dengar la la la la la,tidak mau dengar la la la la la,"['tidak', 'mau', 'dengar', 'la', 'la', 'la', 'la', 'la']",dengar la la la la la,dengar la la la la la,dengar la la la la la
1018,hardnesssoul_,Mau aja di adu domba🤣,Mau aja di adu domba,mau aja di adu domba,"['mau', 'aja', 'di', 'adu', 'domba']",adu domba,adu domba,adu domba
1019,imabeamerbois,tidak dengar tidak dengar😮,tidak dengar tidak dengar,tidak dengar tidak dengar,"['tidak', 'dengar', 'tidak', 'dengar']",dengar dengar,dengar dengar,dengar dengar
1020,navajothillf,"Kita cuma ingin berhemat pak, kita butuh quality bukan quantity. Gae kebijakan kok ra ana sg genah pyeleh?😢",Kita cuma ingin berhemat pak  kita butuh quality bukan quantity  Gae kebijakan kok ra ana sg genah pyeleh,kita cuma ingin berhemat pak  kita butuh quality bukan quantity  gae kebijakan kok ra ana sg genah pyeleh,"['kita', 'cuma', 'ingin', 'berhemat', 'pak', 'kita', 'butuh', 'quality', 'bukan', 'quantity', 'gae', 'kebijakan', 'kok', 'ra', 'ana', 'sg', 'genah', 'pyeleh']",berhemat butuh quality quantity gae kebijakan ra ana sg genah pyeleh,berhemat butuh kualitas quantity membuat kebijakan ra ana sg genah pyeleh,hemat butuh kualitas quantity buat bijak ra ana sg genah pyeleh
1021,tiaraaaputris,brand brand luar kok gak lu senggol sih joooook jooook !!!,brand brand luar kok gak lu senggol sih jook jook,brand brand luar kok gak lu senggol sih jook jook,"['brand', 'brand', 'luar', 'kok', 'gak', 'lu', 'senggol', 'sih', 'jook', 'jook']",brand brand lu senggol jook jook,brand brand kamu senggol jook jook,brand brand kamu senggol jook jook
1022,hardnesssoul_,Semua udah ada pasarnya ngab owi🙃,Semua udah ada pasarnya ngab owi,semua udah ada pasarnya ngab owi,"['semua', 'udah', 'ada', 'pasarnya', 'ngab', 'owi']",udah pasarnya ngab owi,sudah pasarnya ngab owi,sudah pasar ngab owi
1023,tanjung_13,NEK KALAH SAING YO NGENEKI 🙏,NEK KALAH SAING YO NGENEKI,nek kalah saing yo ngeneki,"['nek', 'kalah', 'saing', 'yo', 'ngeneki']",nek kalah saing yo ngeneki,nek kalah saing ya ngeneki,nek kalah saing ya ngeneki
1024,bramlele,Ubetrinang pa,Ubetrinang pa,ubetrinang pa,"['ubetrinang', 'pa']",ubetrinang pa,ubetrinang pa,ubetrinang pa
1025,billyrosad,Karek ge balanja bookingan pak :((,Karek ge balanja bookingan pak,karek ge balanja bookingan pak,"['karek', 'ge', 'balanja', 'bookingan', 'pak']",karek ge balanja bookingan,karek ge balanja bookingan,karek ge balanja bookingan
